icao_code,telephony,company_name,country,is_virtual,notes
AAB,ABG,ABELAG AVIATION,BELGIUM,f,
AAC,ARMYAIR,ARMY AIR CORPS,UNITED KINGDOM,f,
AAD,PANABEAR,ARRENDAMIENTOS AEREOS,PANAMA,f,
AAE,EUROVIKING,AIR ATLANTA EUROPE,MALTA,f,
AAF,AIGLE AZUR,AIGLE AZUR,FRANCE,f,
AAG,APRICOT,ARMENIAN AIRLINES LLC,ARMENIA,f,
AAH,ALOHA,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)",UNITED STATES,f,
AAI,BOREALIS,"AIR AURORA, INC. (SUGAR GROVE, IL)",UNITED STATES,f,
AAJ,ALFA SUDAN,"ALFA AIRLINES CO., LTD",SUDAN,f,
AAK,ALASKA ISLAND,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)",UNITED STATES,f,
AAL,AMERICAN,AMERICAN AIRLINES INC.,UNITED STATES,f,
AAM,AIM AIR,AIM AIR,REPUBLIC OF MOLDOVA,f,
AAN,ATMOJET,CTR ATMOSPHERICA AVIATION A.S.,CZECHIA,f,
AAO,HERO,ALPHA AVIATION S.R.O.,CZECHIA,f,
AAP,ARABASCO,ARABASCO AIR SERVICES,SAUDI ARABIA,f,
AAQ,ASIA ATLANTIC,"ASIA ATLANTIC AIRLINES CO., LTD",THAILAND,f,
AAR,ASIANA,ASIANA AIRLINES,REPUBLIC OF KOREA,f,
AAS,AL-AAS,ASKARI AVIATION (PVT) LTD,PAKISTAN,f,
AAT,AFRICA AIRLINES,CONGO FALCON,CONGO,f,
AAV,ASTRO-PHIL,"ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES",PHILIPPINES,f,
AAW,AFRIQIYAH,AFRICAN AIRLINES CORPORATION,LIBYA,f,
AAX,ADVANCE AVIATION,"ADVANCE AVIATION CO., LTD",THAILAND,f,
AAY,ALLEGIANT,"ALLEGIANT AIR, INC. (FRESNO, CA)",UNITED STATES,f,
AAZ,AEOLUS,AEOLUS AIR LIMITED,GAMBIA,f,
ABA,AEROBETA,"AERO-BETA GMBH & CO., STUTTGART",GERMANY,f,
ABB,AIR BELGIUM,AIR BELGIUM SA,BELGIUM,f,
ABD,ATLANTA,AIR ATLANTA ICELANDIC,ICELAND,f,
ABE,ABAN,ABAN AIR,IRAN (ISLAMIC REPUBLIC OF),f,
ABF,SKYWINGS,"SCANWINGS OY, FINLAND",FINLAND,f,
ABG,ROYAL FLIGHT,"ROYAL FLIGHT AIRLINES, CJSC",RUSSIAN FEDERATION,f,
ABI,AIRALBACETE,"ALBA-AIR AVIACION, S.L.",SPAIN,f,
ABJ,ABAETE,ATA - AEROTAXI ABAETE LTDA,BRAZIL,f,
ABK,AIRBUS CANUCK,AIRBUS CANADA,CANADA,f,
ABL,AIR BUSAN,AIR BUSAN,REPUBLIC OF KOREA,f,
ABM,ALBATROS ESPANA,AERO ALBATROS,SPAIN,f,
ABN,AIR ALBANIA,AIR ALBANIA,ALBANIA,f,
ABO,AEROEXPRESO,AEROEXPRESO BOGOTA,COLOMBIA,f,
ABP,BAIR,ABS JETS,CZECHIA,f,
ABQ,PAKBLUE,"AIRBLUE LIMITED, M/S.",PAKISTAN,f,
ABR,CONTRACT,ASL AIRLINES (IRELAND) LIMITED,IRELAND,f,
ABT,BENWAYS,BENIN AIRLINES,BENIN,f,
ABV,CARGOBLUE,ASL AIRLINES UK,UNITED KINGDOM,f,
ABW,AIRBRIDGE CARGO,AIRBRIDGE CARGO AIRLINES LTD,RUSSIAN FEDERATION,f,
ABX,ABEX,"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES,f,
ABY,ARABIA,AIR ARABIA,UNITED ARAB EMIRATES,f,
ABZ,ISLAND LIFEFLIGHT,AIR AMBULANCE SERVICES LIMITED,BAHAMAS,f,
ACA,AIR CANADA,AIR CANADA,CANADA,f,
ACB,AIRCONTI,AIR CONTINENTAL AFRICA,GABON,f,
ACD,ACADEMY,"ACADEMY AIRLINES (GRIFFIN, GA)",UNITED STATES,f,
ACE,SKY ACE,AVIATION ACES,UNITED STATES,f,
ACF,FORCAN,CENTRO DE FORMACION AERONAUTICA DE CANARIAS,SPAIN,f,
ACI,AIRCALIN,AIR CALEDONIE INTERNATIONAL,FRANCE,f,
ACJ,SINOJET,"AC AVIATION CO., LTD",THAILAND,f,
ACK,ACK AIR,"NANTUCKET AIRLINES (NANTUCKET, MA)",UNITED STATES,f,
ACL,ADMIRE,"AERCARIBE, S.A.",COLOMBIA,f,
ACN,AZUL CONECTA,AZUL CONECTA LTDA,BRAZIL,f,
ACO,WEBER,"AIR CHOICE ONE (ST. LOUIS, MO)",UNITED STATES,f,
ACP,ASTRAL CARGO,ASTRAL AVIATION LIMITED,KENYA,f,
ACQ,ACE CARGO,ARYAN CARGO EXPRESS,INDIA,f,
ACR,AEROCENTER,"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",SPAIN,f,
ACS,AIRCRAFT SALES,AIRCRAFT SALES AND SERVICES (PVT) LTD,PAKISTAN,f,
ACT,AMERICAN CHECK,"FLIGHT LINE, INC. (DENVER, CO)",UNITED STATES,f,
ACU,AFRISPIRIT,AIR CARGO TRANSPORTATION SYSTEM LIMITED,KENYA,f,
ACV,CARNAIR,"AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)",INDIA,f,
ACW,ACRO JETS,"SERVICIOS AEREOS ACROSS, S.A. DE C.V.",MEXICO,f,
ADA,AUSCAL,"AIRSERVICES AUSTRALIA, FLIGHT INSPECTION UNIT",AUSTRALIA,f,
ADB,ANTONOV BUREAU,ANTONOV COMPANY,UKRAINE,f,
ADC,AD ASTRA,AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.,POLAND,f,
ADG,AEREA TRAINING,"AEREA FLYING TRAINING ORGANIZATION, S.A.",SPAIN,f,
ADI,AUDELI,AUDELI AIR EXPRESS,SPAIN,f,
ADJ,SHENDENG JET,"ALADDIN JET CO., LTD",CHINA,f,
ADK,ADCO,AVIATION DEVELOPMENT COMPANY NIGERIA LIMITED,NIGERIA,f,
ADL,COTSWOLD,AERO DYNAMICS,UNITED KINGDOM,f,
ADM,DREAM COLLEGE,AIR DREAM COLLEGE,PORTUGAL,f,
ADN,AERODIENST,"AERODIENST GMBH & CO. KG, NUERNBERG",GERMANY,f,
ADO,AIR DO,"AIRDO CO., LTD",JAPAN,f,
ADP,AERODIPLOMATIC,"AERODIPLOMATIC, S.A. DE C.V.",MEXICO,f,
ADR,ADRIA,ADRIA AIRWAYS,SLOVENIA,f,
ADS,ANDERSON,ANDERSON AIR LTD.,CANADA,f,
ADT,ARRENDA-TRANS,"ARRENDAMIENTOS Y TRANSPORTES TURISTICOS, S.A. DE C.V.",MEXICO,f,
ADV,ADVANCED,ADVANCED FLIGHT TRAINING LTD,UNITED KINGDOM,f,
ADY,NAWRAS,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES,f,
ADZ,MIGRATOR,COMPASS CARGO AIRLINES,BULGARIA,f,
AEA,EUROPA,AIR EUROPA,SPAIN,f,
AEB,AVION EXPRESS,AVION EXPRESS BRASIL,BRAZIL,f,
AEE,AEGEAN,AEGEAN AIRLINES,GREECE,f,
AEG,AIREST CARGO,AIREST,ESTONIA,f,
AEH,VEGA,"AERO4M, D.O.O.",SLOVENIA,f,
AEI,POLISH BIRD,AIR POLAND SP. Z.O.O.,POLAND,f,
AEJ,AEROJET,AEROJET EXECUTIVE,VENEZUELA,f,
AEK,AEROCON,AEROCON LTDA.,BOLIVIA,f,
AEL,RHOMBUS,AEGLE AVIATION (ARUBA) N.V.,NETHERLANDS,f,
AEM,AEROMADRID,AERO MADRID,SPAIN,f,
AEO,AERO,AERO GUERNSEY LTD,GUERNSEY,f,
AEP,AEROTEC,AEROTEC,SPAIN,f,
AER,ACE AIR,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)",UNITED STATES,f,
AES,GEMINA,AEROSPACE ENGINEERING SERVICES,MALTA,f,
AET,AEROTHAI,AERONAUTICAL RADIO OF THAILAND LTD,THAILAND,f,
AEV,AEROVENTAS,"AEROVENTAS, S.A.",MEXICO,f,
AEW,SEAGULL,AEGEAN EXECUTIVE S.A.,GREECE,f,
AEX,AEROX,AEROHELIX S. DE R.L. DE C.V.,MEXICO,f,
AEY,ZEUS,AEROSERVICIOS CENTROAMERICANOS S. DE R.L.,PANAMA,f,
AEZ,AEROITALIA,AEROITALIA SRL,ITALY,f,
AFA,BLUE ALFA,ALFA AIR,CZECHIA,f,
AFB,BULAF,BULGARIAN AIR FORCE,BULGARIA,f,
AFC,AERORUTAS,AERORUTAS DEL SUR C.A.,VENEZUELA,f,
AFE,AIRFAST,"AIRFAST INDONESIA, PT.",INDONESIA,f,
AFF,AIRFERRY,AF-AVIATION LTD,UNITED KINGDOM,f,
AFG,ARIANA,ARIANA AFGHAN AIRLINES,AFGHANISTAN,f,
AFH,AIR AFGHANISTAN,AIR AFGHANISTAN INTERNATIONAL,AFGHANISTAN,f,
AFI,AFRICAWORLD,AFRICAONE,UGANDA,f,
AFJ,JAMBO,ALLIANCE,UGANDA,f,
AFL,AEROFLOT,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION,f,
AFM,EPIC AIR,AEROSPEED FORMATION ET MAINTENANCE,FRANCE,f,
AFN,HEKLA,ATLANTSFLUG LTD.,ICELAND,f,
AFP,PORTUGUESE AIR FORCE,PORTUGUESE AIR FORCE,PORTUGAL,f,
AFQ,ALBA,ALBA SERVIZI AEROTRASPORTI SPA,ITALY,f,
AFR,AIRFRANS,AIR FRANCE,FRANCE,f,
AFW,BLACKSTAR,AFRICA WORLD AIRLINES LIMITED,GHANA,f,
AFY,AFRICA CHARTERED,AFRICA CHARTERED SERVICES,NIGERIA,f,
AFZ,AFTA,ATLANTIC FLIGHT TRAINING ACADEMY,IRELAND,f,
AGA,IRAN HANGAR,ASHIANEH,IRAN (ISLAMIC REPUBLIC OF),f,
AGE,AEROMANAGE,AEROMANAGE,LITHUANIA,f,
AGF,AIR GEORGIA,AIR GEORGIA,GEORGIA,f,
AGH,ALTAGNA,ALTAGNA,FRANCE,f,
AGM,ANGEL MED,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",UNITED STATES,f,
AGN,GOLF NOVEMBER,COMPAGNIE NATIONALE AIR GABON,GABON,f,
AGO,ANGOLA CHARTER,AAC-ANGOLA AIR CHARTER LIMITED,ANGOLA,f,
AGP,AIR TARA,AERFI GROUP PLC,IRELAND,f,
AGR,ACE EUROPE,ASL BV,NETHERLANDS,f,
AGS,BLUE PORT,"AOT GROUND AVIATION SERVICES CO., LTD.",THAILAND,f,
AGT,AMADEUS,AMADEUS GLOBAL TRAVEL DISTRIBUTION S.A.,SPAIN,f,
AGU,SARMA,ANGARA AIRLINES JSC,RUSSIAN FEDERATION,f,
AGV,AIR GLACIERS,AIR GLACIERS SA,SWITZERLAND,f,
AGY,EGYPTIAN BIRD,AIR GO EGYPT,EGYPT,f,
AHB,ALHAMBRA,AIR ALBORAN S.L.,SPAIN,f,
AHD,AIRHANDLING,CZECH AIR HANDLING,CZECHIA,f,
AHE,AIRPORT HELICOPTER,AIRPORT HELICOPTER AHB AG,SWITZERLAND,f,
AHF,ASPEN,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",UNITED STATES,f,
AHH,AIRHOLD,AIRPLANES HOLDINGS LTD,IRELAND,f,
AHI,AEROCHISA,"SERVICIOS AEREOS DE CHIHUAHUA AEROCHISA, S.A. DE C.V.",MEXICO,f,
AHJ,AVYCOP,"AVIONES Y HELICOPTEROS EJECUTIVOS, S.A. DE C.V.",MEXICO,f,
AHK,AIR HONG KONG,AHK AIR HONG KONG LIMITED,CHINA,f,
AHL,HIDALGO,"AEROLINEAS HIDALGO, S.A. DE C.V.",MEXICO,f,
AHM,HELI ATLANTIS,"ATLANTIS HELICOPTERS DE MEXICO, S.A. DE C.V.",MEXICO,f,
AHS,HIGH SKY,AHS AIR INTERNATIONAL (PVT) LTD,PAKISTAN,f,
AHT,HELIAPRA,"HTA HELICOPTEROS, LDA",PORTUGAL,f,
AHU,ABC HUNGARY,ABC AIR HUNGARY LTD,HUNGARY,f,
AHW,SKY CAPITAL,SKY CAPITAL AIRLINES LTD.,BANGLADESH,f,
AHX,AMAKUSA AIR,"AMAKUSA AIRLINES CO., LTD",JAPAN,f,
AHY,AZAL,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE",AZERBAIJAN,f,
AIA,AMELIA,AMELIA,FRANCE,f,
AIB,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE,FRANCE,f,
AIC,AIRINDIA,AIR INDIA LIMITED,INDIA,f,
AIE,INUIT,AIR INUIT LTD,CANADA,f,
AIH,AIR INCHEON,AIR INCHEON CO. LTD,REPUBLIC OF KOREA,f,
AIJ,ABC AEROLINEAS,"ABC AEROLINEAS, S.A. DE C.V.",MEXICO,f,
AIK,AFRICAN AIRLINES,AFRICAN AIRLINES INTERNATIONAL LIMITED,KENYA,f,
AIM,PIJO,TRABAJOS AEREOS MURCIANOS S.L.,SPAIN,f,
AIN,FLY CARGO,AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD,SOUTH AFRICA,f,
AIO,AIR CHIEF,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",UNITED STATES,f,
AIP,ALPINE AIR,"ALPINE AVIATION, INC. (PROVO, UT)",UNITED STATES,f,
AIQ,THAI ASIA,"THAI AIR ASIA CO., LTD",THAILAND,f,
AIS,SURESTE,AIR SURESTE,SPAIN,f,
AIT,AIR TAURUS,AIR TAURUS LLC,UKRAINE,f,
AIW,AIRWOLF,AEROHELI INTERNATIONAL GMBH & CO KG,GERMANY,f,
AIX,ANDREW,AIR ANDREW LTD.,CANADA,f,
AIZ,ARKIA,ARKIA ISRAEL INLAND AIRLINES,ISRAEL,f,
AJA,AFGHAN JET,AFGHAN JET INTERNATIONAL AIRLINES,AFGHANISTAN,f,
AJB,AMJET,AMERICAN JET S.A.,ARGENTINA,f,
AJC,BAR HARBOR,"BAR HARBOR AIRLINES (BANGOR, ME)",UNITED STATES,f,
AJD,CATCH ME,ASTONJET LIMITED,MALTA,f,
AJE,JET EXPRES,"AERO JET EXPRESS, S.A. DE C.V.",MEXICO,f,
AJG,ATLANTIC JETS,ATLANTIC JETS,VENEZUELA,f,
AJH,ALJARAFE,AEROALJARAFE S.L.,SPAIN,f,
AJI,AMERISTAR,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)",UNITED STATES,f,
AJJ,AVJET,AVCON JET AFRICA (PTY) LTD.,SOUTH AFRICA,f,
AJK,BAMBI,ALLIED AIR LIMITED,NIGERIA,f,
AJM,JAMAICA,AIR JAMAICA,JAMAICA,f,
AJN,BAJANTE,"AUTOMOTRIZ BAJA NORTE, S.A. DE C.V.",MEXICO,f,
AJO,AVIATE JET,AV8JET CHARTER,MALTA,f,
AJP,ANAPJETS,ANAP BUSINESS JETS LIMITED,NIGERIA,f,
AJQ,PANAJET,"AEROTECNICA JET SERVICES, INC.",PANAMA,f,
AJR,JET MONGOLIA,A-JET AVIATION CO. LTD,MONGOLIA,f,
AJS,AEROEJECUTIVOS,"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS",COLOMBIA,f,
AJT,AMERIJET,"AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)",UNITED STATES,f,
AJU,AIRJETSUL,AIR JETSUL,PORTUGAL,f,
AJV,LEE JET,"ADVANCE AVIATION JET CO., LTD",THAILAND,f,
AJW,ALPHAJET,"ALPHA JET INTERNATIONAL (SHEFFIELD, AL)",UNITED STATES,f,
AJX,AIR JAPAN,"AIR JAPAN CO., LTD",JAPAN,f,
AJY,AJWAA AIRLINES,AJWAA AIRLINES,EGYPT,f,
AJZ,ANGLO JET,ANGLO AMERICAN SOUTH AFRICA LIMITED,SOUTH AFRICA,f,
AKC,ASIALINK CARGO,"ASIALINK CARGO EXPRESS, PT.",INDONESIA,f,
AKG,GRIFTER,84 SQN RAF AKROTIRI,UNITED KINGDOM,f,
AKH,AKHAL,AKHAL,TURKMENISTAN,f,
AKJ,AKASA AIR,AKASA AIR,INDIA,f,
AKK,AKER,SUNDT AIR MANAGEMENT,NORWAY,f,
AKL,AIR KIRIBATI,AIR KIRIBATI LIMITED,KIRIBATI,f,
AKN,ALKAN AIR,ALKAN AIR LTD.,CANADA,f,
AKP,ASKARI AIR,ASKARI AIR PAKISTAN,PAKISTAN,f,
AKQ,MOONLIGHT,AEROSPACE CONSORTIUM LTD,KENYA,f,
AKS,AKEL,AIRWORKS KENYA LIMITED,KENYA,f,
AKT,ARCTIC,BRADLEY AIR SERVICES LIMITED D/B/A CANADIAN NORTH,CANADA,f,
AKU,ALKEBULAN,ALKEBULAN AIRLINES,ZAMBIA,f,
AKV,FLY SUN WEST,AIRVAN KENYA LIMITED,KENYA,f,
AKW,ANGKORWAYS,ANGKOR AIRWAYS,CAMBODIA,f,
AKX,ALFA WING,"ANA WINGS CO., LTD",JAPAN,f,
AKY,YAK-SERVICE,YAK-SERVICE,RUSSIAN FEDERATION,f,
ALB,ALBATROS,AERO ALBATROS,MEXICO,f,
ALC,ACOM,"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)",UNITED STATES,f,
ALD,AIR LEISURE,AIR LEISURE,EGYPT,f,
ALE,ALLIANCE MALTA,ALLIANCE EXECUTIVE JETS LTD.,MALTA,f,
ALF,ACEFORCE,ALLIED COMMAND EUROPE (MOBILE FORCE),BELGIUM,f,
ALI,BLUELIFT,AIRLIFT AS,NORWAY,f,
ALK,SRILANKAN,SRILANKAN AIRLINES,SRI LANKA,f,
ALL,ARABIA AVIA,AIR ARABIA FOR AIR TRANSPORT,LIBYA,f,
ALN,ALKAN AVIATION,ALKAN AIR,EGYPT,f,
ALO,ALLEGHENY,"PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)",UNITED STATES,f,
ALP,ALLPOINTS,"ALLPOINTS JET CO., LTD",CHINA,f,
ALR,ALBORZ,ALBORZ AIR,IRAN (ISLAMIC REPUBLIC OF),f,
ALS,ALASDELSUR,ALAS DEL SUR,VENEZUELA,f,
ALT,AEROLINEAS CENTRALES,"AEROLINEAS CENTRALES, S.A. DE C.V.",MEXICO,f,
ALU,LUXORJET,AIR LUXOR STP,SAO TOME AND PRINCIPE,f,
ALV,AEROPOSTAL,AEROPOSTAL ALAS DE VENEZUELA,VENEZUELA,f,
ALX,ALPIJETS,ALPI JETS GMBH,AUSTRIA,f,
ALZ,AZURE,AZURE AVIATION LTD,BAHAMAS,f,
AMA,MOALEM,AIRCOMPANY MOALEM AVIATION,KYRGYZSTAN,f,
AMB,CIVIL AIR AMBULANCE,"DRF - STIFTUNG LUFTRETTUNG GEMEINNUETZIGE AG, FILDERSTADT",GERMANY,f,
AMC,AIR MALTA,AIR MALTA PLC.,MALTA,f,
AMD,MERCY WING,SA RED CROSS AIR MERCY SERVICE,SOUTH AFRICA,f,
AME,AIRMIL,AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA,SPAIN,f,
AMF,AMFLIGHT,"AMERIFLIGHT, INC. (BURBANK, CA)",UNITED STATES,f,
AMG,AIR MINAS,AIR MINAS LINHAS AEREAS LTDA.,BRAZIL,f,
AMH,MACRAN,AIR MACRAN,IRAN (ISLAMIC REPUBLIC OF),f,
AMI,AIRMEK,"AIR AMERICA, INC. (CAROLINA, PR)",UNITED STATES,f,
AMJ,AMJET EXEC,AMJET EXECUTIVE S.A.,GREECE,f,
AMK,AMAC,AMAC CORPORATE JET AG,SWITZERLAND,f,
AML,MALAWI,AIR MALAWI,MALAWI,f,
AMM,METAVIA,MET EXPRESS AIR CORP.,PHILIPPINES,f,
AMN,MONTENEGRO,AIR MONTENEGRO,MONTENEGRO,f,
AMP,ATSA,AERO TRANSPORTE S.A. (ATSA),PERU,f,
AMQ,AMEX,AMC AVIATION SP. Z O. O.,POLAND,f,
AMR,AIR AM,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)",UNITED STATES,f,
AMT,AIR MOUNTAIN,AIR MOUNTAIN,SWITZERLAND,f,
AMU,AIR MACAU,AIR MACAU,CHINA,f,
AMX,AEROMEXICO,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO,f,
AMY,AIR MANDALAY,AIR MANDALAY LIMITED,MYANMAR,f,
AMZ,AMIYI AIR,AMIYI AIRLINE LIMITED,NIGERIA,f,
ANA,ALL NIPPON,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,f,
ANB,AIR NAV,AIR NAVIGATION AND TRADING CO. LTD.,UNITED KINGDOM,f,
ANC,AVIAN,AVIAN LINEAS AEREAS S.A. - AVIANCA ARGENTINA,ARGENTINA,f,
AND,SERVI ANDES,SERVICIOS AEREOS DE LOS ANDES S.A.C.,PERU,f,
ANE,NOSTRU AIR,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",SPAIN,f,
ANG,NIUGINI,AIR NIUGINI,PAPUA NEW GUINEA,f,
ANI,NIGALANTIC,AIR ATLANTIC (NIG) LIMITED,NIGERIA,f,
ANJ,AIR ALLEGIANCE,ALLEGIANCE AIR (PTY) LTD,SOUTH AFRICA,f,
ANK,AERO NOMAD,AERO NOMAD AIRLINES LLC,KYRGYZSTAN,f,
ANL,AIR NACOIA,NACOIA LDA,ANGOLA,f,
ANM,NORAM,"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.",MEXICO,f,
ANO,TOPEND,"CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL",AUSTRALIA,f,
ANP,NICON FLIERS,AIR NIGERIA DEVELOPMENT LIMITED,NIGERIA,f,
ANQ,ANTIOQUIA,AEROLINEA DE ANTIOQUIA S.A. (ADA),COLOMBIA,f,
ANR,YANAIR,"YANAIR, AVIACOMPANY LTD",UKRAINE,f,
ANS,AEROANDES,"ANDES LINEAS AEREAS, S.A.",ARGENTINA,f,
ANT,AIR NORTH,AIR NORTH CHARTER,CANADA,f,
ANU,ANDALUS,ANDALUS,SPAIN,f,
ANV,NESTAV,NESTOIL LIMITED,NIGERIA,f,
ANW,ANGEL WINGS,FLY ME (PTY) LTD,SOUTH AFRICA,f,
ANX,SECRETARIA DEMARINA,SECRETARIA DE MARINA,MEXICO,f,
ANZ,NEW ZEALAND,AIR NEW ZEALAND LTD,NEW ZEALAND,f,
AOA,AIR OCEAN,AIR OCEAN AIRLINES LLC,UKRAINE,f,
AOB,CARIBE CORO,"AEROCARIBE CORO, C.A.",VENEZUELA,f,
AOC,ARAMIS,TITANFLY INTERNATIONAL,SAN MARINO,f,
AOD,AERO CZECH,AERO VODOCHODY,CZECHIA,f,
AOF,ATAIR,ATAIR PTY LTD,SOUTH AFRICA,f,
AOJ,ASTERIX,AVCON JET AG,AUSTRIA,f,
AOM,OCEAN MAROC,AIR OCEAN MAROC,MOROCCO,f,
AON,AERO ENTREPRISE,AERO ENTREPRISE,FRANCE,f,
AOO,TREBET AVIATION,TREBET AVIATION LTD,NIGERIA,f,
AOR,INTER-AFRO,AFRO INTERNATIONAL ENT. LIMITED,NIGERIA,f,
AOS,AEROS,AEROS LTD (T/A AEROS FLIGHT TRAINING),UNITED KINGDOM,f,
AOU,AIR TRACTOR,AIR TRACTOR D.O.O.,CROATIA,f,
AOV,AEROVISION,AERO VISION,FRANCE,f,
APA,APOYO LOG,"APOYO LOGISTICO AEREO, S.A. DE C.V.",MEXICO,f,
APC,AIRPAC,"AIRPAC (SEATTLE, WA)",UNITED STATES,f,
APE,AIR PARCEL,"PARCEL EXPRESS (DENVER, CO)",UNITED STATES,f,
APF,AMAPOLA,AMAPOLA FLYG AB,SWEDEN,f,
APG,COOL RED,PHILIPPINES AIRASIA INC.,PHILIPPINES,f,
APH,AIRFLIGHT,"ALPHA AVIATION, INC. (DALLAS, TX)",UNITED STATES,f,
API,ASA PESADA,"ASA PESADA, LDA.",ANGOLA,f,
APJ,AIR PEACH,PEACH AVIATION LIMITED,JAPAN,f,
APK,PEACE BIRD,AIR PEACE LIMITED,NIGERIA,f,
APL,AEREO PRINCIPAL,"CORPORATIVO AEREO PRINCIPAL, S.A. DE C.V.",MEXICO,f,
APM,RED FINN,AEROPOLE OY,FINLAND,f,
APN,AIR ALPES,ALPINE AIRLINES,FRANCE,f,
APP,ALPAVIA,ALPAVIA D.O.O.,SLOVENIA,f,
APR,PRIMORDIALES,"AEROLINEAS PRIMORDIALES, S A DE C.V.",MEXICO,f,
APS,AEROPARADISE,"AEROPARADISE, S.A. DE C.V.",MEXICO,f,
APU,APUKA,TRANSPORTE AEREO EXPRESO MOCHE S.A.C.,PERU,f,
APV,PHILIP AIR,AIR PHILIP,REPUBLIC OF KOREA,f,
APW,TRIPLE ACE,"ALPHA THREE AVIATION, INC",UNITED STATES,f,
APX,APEX,NALJETS LTD,UNITED KINGDOM,f,
APZ,AIR PREMIA,AIR PREMIA,REPUBLIC OF KOREA,f,
AQA,ATCO,AEROATLAS S.A.,COLOMBIA,f,
AQL,ALTACARGO,ALTAIR AIRLINES,KAZAKHSTAN,f,
AQQ,APSARA,APSARA INTERNATIONAL AIR,CAMBODIA,f,
AQS,AIRSTREAM,AIRSTREAM,CZECHIA,f,
AQU,QUARIUS,AIRQUARIUS AVIATION,SOUTH AFRICA,f,
ARA,ARIK AIR,ARIK AIR LTD,NIGERIA,f,
ARB,AIRBAHN,AIRBAHN,UNITED STATES,f,
ARD,CORDILLERAS,"AEROANDINAS, C.A.",VENEZUELA,f,
ARE,LAN COLOMBIA,AIRES S.A. (AEROVIAS DE INTEGRACION REGIONAL S.A.) D/B/A LAN COLOMBIA AIRLINES S.A. D/B/A LAN COLOMBIA AIRLINES,COLOMBIA,f,
ARF,ANIMAL FLIGHTS,ANIMAL RESCUE FLIGHTS,UNITED STATES,f,
ARG,ARGENTINA,AEROLINEAS ARGENTINAS,ARGENTINA,f,
ARH,AEROHELCA,"AEROHELICOPTEROS, C.A.",VENEZUELA,f,
ARI,AEROVICS,"AERO VICS, S.A. DE C.V.",MEXICO,f,
ARK,LINK SERVICE,AERO LINK AIR SERVICES S.L.,SPAIN,f,
ARL,AIRLEC,AIRLEC AIR ESPACE,FRANCE,f,
ARM,SUNSKY,MEGAVIATION,REPUBLIC OF MOLDOVA,f,
ARN,AERONEX,AERONEXUS CORPORATE PTY LTD,SOUTH AFRICA,f,
ARO,ACERO,"ACERO TAXI, S.A. DE C.V.",MEXICO,f,
ARP,IVORYCORP,AERO CORPORATE,COTE D'IVOIRE,f,
ARQ,AIRCO,AIRCO AIRCRAFT CHARTERS LTD,CANADA,f,
ARR,AVALAIR,AVALAIR AIRCRAFT MANAGEMENT LLC,UNITED STATES,f,
ARS,METSERVICE,AEROMET SERVICIOS LTDA.,CHILE,f,
ART,SMART LYNX,SMART LYNX AIRLINES LTD,LATVIA,f,
ARU,ARUBA,ARUBA AIRLINES,NETHERLANDS,f,
ARV,ARAVCO,ARAVCO LTD.,UNITED KINGDOM,f,
ARW,JAMAICA SHUTTLE,AIRWAYS INTERNATIONAL LIMITED,JAMAICA,f,
ARX,AIREX,"AIR XPRESS, INC, (GREENSBORO, NC)",UNITED STATES,f,
ARY,YERAZ,ATC CJSC,ARMENIA,f,
ARZ,AIRBORNE,AIRBORNE IMAGING,UNITED STATES,f,
ASA,ALASKA,ALASKA AIRLINES INC.,UNITED STATES,f,
ASB,AIR SPRAY,AIR-SPRAY 1967 LTD.,CANADA,f,
ASD,AIR SPHINX,AIR SPHINX,EGYPT,f,
